id,x,y,frame,label
0,474.4849548339844,487.4951477050781,1,ped
1,669.4658813476562,256.4920349121094,1,ped
2,656.4974365234375,248.49658203125,1,ped
3,339.49908447265625,414.4941711425781,1,ped
4,356.5049133300781,428.49853515625,1,ped
5,394.4931335449219,435.5059814453125,1,ped
6,365.51007080078125,463.479736328125,1,ped
7,346.539794921875,472.4972229003906,1,ped
8,347.5041198730469,452.519775390625,1,ped
9,336.4940185546875,442.4974060058594,1,ped
10,339.5097351074219,390.4913330078125,1,ped
11,200.51315307617188,127.4917984008789,1,ped
12,463.5039367675781,75.49138641357422,1,ped
13,482.50238037109375,87.5016860961914,1,ped
0,475.23291015625,486.3816223144531,2,ped
1,670.69921875,255.59561157226562,2,ped
2,657.5747680664062,247.53187561035156,2,ped
3,340.4653015136719,413.5443420410156,2,ped
4,357.45257568359375,427.60955810546875,2,ped
5,395.3288879394531,434.626708984375,2,ped
6,366.4551696777344,462.6797180175781,2,ped
7,347.44580078125,471.5073547363281,2,ped
8,348.3808288574219,451.9046936035156,2,ped
9,337.3150634765625,441.69976806640625,2,ped
10,339.9134826660156,389.7153625488281,2,ped
11,201.54049682617188,128.2029266357422,2,ped
12,464.42559814453125,74.17870330810547,2,ped
13,483.4731750488281,86.28557586669922,2,ped
0,475.4941101074219,485.1080017089844,3,ped
1,672.3174438476562,255.0811309814453,3,ped
2,658.6746826171875,246.9285125732422,3,ped
3,341.1273193359375,413.0328369140625,3,ped
4,358.2566223144531,426.97015380859375,3,ped
5,395.7235412597656,433.7007141113281,3,ped
6,366.99151611328125,461.93768310546875,3,ped
7,347.7268981933594,470.4898681640625,3,ped
8,348.5299072265625,451.5413513183594,3,ped
9,337.9185791015625,441.01104736328125,3,ped
10,340.9729919433594,389.614501953125,3,ped
11,202.2843780517578,128.6656951904297,3,ped
12,465.1571350097656,72.97880554199219,3,ped
13,483.9952087402344,85.28654479980469,3,ped
0,476.3410339355469,483.2431640625,4,ped
1,673.0100708007812,253.9527130126953,4,ped
2,659.968017578125,246.6349334716797,4,ped
3,341.6842346191406,411.80621337890625,4,ped
4,358.7290344238281,426.0530090332031,4,ped
5,396.6830749511719,432.792236328125,4,ped
6,368.2628173828125,460.93914794921875,4,ped
7,348.8831787109375,469.5123596191406,4,ped
8,349.67022705078125,450.0646667480469,4,ped
9,339.5543518066406,439.32958984375,4,ped
10,341.5093688964844,388.93072509765625,4,ped
11,202.92428588867188,129.6951141357422,4,ped
12,465.5511169433594,72.27019500732422,4,ped
13,485.3380432128906,84.07999420166016,4,ped
0,476.6141357421875,482.19818115234375,5,ped
1,673.8919677734375,254.08811950683594,5,ped
2,661.4613647460938,245.5745849609375,5,ped
3,343.283935546875,411.4732666015625,5,ped
4,359.7124938964844,424.6104736328125,5,ped
5,397.14208984375,431.6240234375,5,ped
6,368.4121398925781,459.98626708984375,5,ped
7,349.56707763671875,468.4983825683594,5,ped
8,350.717529296875,448.5302429199219,5,ped
9,340.2340087890625,438.62921142578125,5,ped
10,341.5972900390625,388.2029724121094,5,ped
11,204.05538940429688,130.62420654296875,5,ped
12,466.6101989746094,70.23320007324219,5,ped
13,485.44659423828125,82.23648071289062,5,ped
0,477.54364013671875,480.60870361328125,6,ped
1,675.9766845703125,252.13726806640625,6,ped
2,662.3827514648438,244.77137756347656,6,ped
3,343.9364318847656,410.2084045410156,6,ped
4,360.01898193359375,423.6492919921875,6,ped
5,397.20819091796875,430.1432189941406,6,ped
6,369.4564514160156,458.861328125,6,ped
7,349.8812255859375,467.528564453125,6,ped
8,351.4864501953125,447.66497802734375,6,ped
