id,x_c,y_c,x_fl,y_fl,x_fr,y_fr,x_rr,y_rr,x_rl,y_rl,frame,label
0,604.2457275390625,232.98933029174805,657.9945068359375,209.99630737304688,659.9549560546875,249.94190979003906,551.005859375,254.9974822998047,548.027587890625,217.02162170410156,1,veh
1,609.2483978271484,149.49799919128418,550.0076293945312,174.9796600341797,547.99560546875,131.0203094482422,667.9981689453125,125.00133514404297,670.9921875,166.99069213867188,1,veh
0,604.7156035900116,233.74107432365417,658.9985961914062,211.0053253173828,660.8796997070312,250.81076049804688,550.9557981491089,256.0028715133667,548.0283203125,217.1453399658203,2,veh
1,609.9995574951172,150.0004119873047,550.0393676757812,175.95391845703125,548.9578857421875,131.00413513183594,669.0321655273438,125.06118774414062,671.9688110351562,167.98240661621094,2,veh
0,604.7783203125,233.03530502319336,659.0137939453125,210.0104217529297,660.8084106445312,250.69577026367188,551.3540649414062,254.32691955566406,547.93701171875,217.1081085205078,3,veh
1,609.7436981201172,150.01326942443848,550.0746459960938,175.90257263183594,548.8543090820312,131.005126953125,668.106201171875,125.15058135986328,671.9396362304688,167.9947967529297,3,veh
0,604.7490997314453,233.25286102294922,658.0802001953125,210.03160095214844,660.7919921875,250.56655883789062,551.3543090820312,255.3145294189453,548.7698974609375,217.0987548828125,4,veh
1,609.6924743652344,150.00321769714355,550.1135864257812,175.85118103027344,548.7333984375,131.02391052246094,668.0264282226562,125.14392852783203,671.896484375,167.9938507080078,4,veh
0,604.6798858642578,233.2473487854004,658.135986328125,210.0523223876953,660.741943359375,250.4740447998047,551.2191772460938,255.36141967773438,548.6224365234375,217.1016082763672,5,veh
1,609.6383972167969,149.99850463867188,550.1709594726562,175.81227111816406,548.6259155273438,131.0370330810547,667.9642333984375,125.1710205078125,671.79248046875,167.97369384765625,5,veh
0,604.6631317138672,233.22980499267578,658.1970825195312,210.0894775390625,660.7156982421875,250.3754119873047,551.2879638671875,255.31478881835938,548.4517822265625,217.13954162597656,6,veh
1,609.8321380615234,149.99581909179688,550.2112426757812,175.76614379882812,548.5352783203125,131.04103088378906,668.917236328125,125.231689453125,671.664794921875,167.9444122314453,6,veh
0,604.6713256835938,233.2190170288086,658.26806640625,210.12588500976562,660.6829833984375,250.32684326171875,551.4454956054688,255.2463836669922,548.2887573242188,217.1769561767578,7,veh
1,609.7736206054688,149.9834384918213,550.2420043945312,175.7194366455078,548.4458618164062,131.04534912109375,668.8546142578125,125.25725555419922,671.552001953125,167.91171264648438,7,veh
0,604.6792602539062,233.21041107177734,658.333251953125,210.163330078125,660.6486206054688,250.2887420654297,551.6045532226562,255.12599182128906,548.130615234375,217.26358032226562,8,veh
1,609.7168731689453,149.97229385375977,550.2756958007812,175.67286682128906,548.3577270507812,131.04995727539062,668.7925415039062,125.30242919921875,671.4415283203125,167.86392211914062,8,veh
0,604.7231903076172,233.19904708862305,658.39599609375,210.1999053955078,660.6090698242188,250.2428436279297,551.9093627929688,255.00599670410156,547.9783325195312,217.34744262695312,9,veh
1,609.6607971191406,149.968355178833,550.2969970703125,175.6214599609375,548.2713623046875,131.05496215820312,668.7327270507812,125.34545135498047,671.3421020507812,167.85154724121094,9,veh
