,id,x_c,y_c,x_fl,y_fl,x_fr,y_fr,x_rr,y_rr,x_rl,y_rl,frame,label,x_est,y_est,vx_est,vy_est
0,0,646.2510681152344,236.75260162353518,701.9850463867188,212.02587890625,704.9803466796875,253.9830017089844,589.02734375,260.97021484375,589.0115356445312,220.03131103515625,1,veh,646.2510681152344,236.75260162353518,13.038706054687498,11.055187408446583
1,1,651.510009765625,152.2539577484131,590.0309448242188,177.97657775878906,589.0247192382812,135.03086853027344,710.001220703125,126.0051498413086,716.983154296875,170.00323486328125,1,veh,651.510009765625,152.2539577484131,6.5577667236300865,5.789035491943359
2,2,149.7531509399414,526.5135955810547,204.9677734375,500.046630859375,206.9993133544922,544.0004272460939,94.01766204833984,553.9653930664061,93.0278549194336,508.04193115234375,1,veh,149.7531509399414,526.5135955810547,89.76201580810546,4.157459472653524
3,0,646.7948913574219,237.21369552612305,703.0234375,212.06776428222656,705.980224609375,254.9302673339844,589.0222778320312,261.7816162109375,589.1536254882812,220.07513427734372,2,veh,646.7948913574219,237.21369552612305,13.038706054687498,11.055187408446583
4,1,651.7835235595702,152.49540901184082,590.108642578125,178.9027862548828,589.0479125976562,135.07106018066406,709.9874877929688,125.94217681884766,717.9900512695312,170.06561279296875,2,veh,651.7835235595702,152.49540901184082,6.5577667236300865,5.789035491943359
5,2,153.49697875976562,526.6869964599608,209.2818603515625,499.8087158203125,211.2201690673828,544.1881713867189,97.14217376708984,554.8534545898439,96.34371185302734,507.8976440429688,2,veh,153.49697875976562,526.6869964599608,89.76201580810546,4.157459472653524
6,0,646.6362762451173,237.18163299560547,702.095703125,212.14453125,706.0298461914062,254.84913635253903,589.1400146484375,261.61785888671875,589.279541015625,220.1150054931641,3,veh,646.9161896037963,237.37814998910665,12.991832300274776,11.022279049464458
7,1,652.0313720703125,152.7405204772949,590.1648559570312,178.8538818359375,589.0676879882812,135.17831420898438,710.9816284179688,126.88284301757812,717.9113159179688,170.0470428466797,3,veh,652.0415993814735,152.7390619301696,6.55605407771021,5.789279737448728
8,2,156.34795379638672,526.8479461669922,211.4933319091797,499.8536987304688,213.53700256347656,544.1141967773439,100.84738159179688,554.7437133789061,99.51409912109376,508.68017578125,3,veh,156.70374504803752,526.8529078114079,89.70243568720383,4.156628605191808
9,0,646.4124603271483,237.2004051208496,702.090087890625,212.29347229003903,705.0894775390625,254.7784423828125,589.0662231445312,261.5792236328125,589.404052734375,220.1504821777344,4,veh,646.8113921524829,237.4436206637943,12.832120713153433,10.92490817577269
10,1,652.0233001708983,152.74743843078613,590.1226196289062,178.939453125,589.1136474609375,135.20466613769528,710.9965209960938,126.8569564819336,717.8604125976562,169.98867797851562,4,veh,652.1346097323828,152.83636844959912,6.511491509377738,5.753676775876428
11,2,160.0219898223877,526.4545516967773,215.2317352294922,499.8275146484375,217.4169769287109,543.1925659179689,104.70222473144531,554.492431640625,102.73702239990234,508.3056945800781,4,veh,160.18341645266838,526.6726836629216,89.63780884700586,4.0692998931102755
12,0,646.4475708007812,237.18394088745117,702.0403442382812,212.3791046142578,705.117431640625,254.74827575683597,589.1076049804688,261.42312622070307,589.52490234375,220.1852569580078,5,veh,646.7865742870686,237.4536796120079,12.611548879125797,10.74940329871274
13,1,652.0174407958983,152.9347915649414,590.0838623046875,178.94271850585938,589.1784057617188,135.20146179199222,711.0166625976562,126.75482177734376,717.7908325195312,170.8401641845703,5,veh,652.1640307484334,152.98816818978537,6.4161130959142,5.7189473984149295
14,2,163.16485786437988,525.7666397094727,217.70526123046875,498.7329711914063,220.18112182617188,542.9520874023439,107.8371810913086,553.8603515625,106.93586730957031,507.5211486816406,5,veh,163.4503833206255,526.1722877478072,89.45203236949705,3.8053659354832563
15,0,646.5073699951173,237.11504745483398,702.0814208984375,212.41033935546875,705.1290893554688,254.6147003173828,589.1622314453125,261.25106811523443,589.65673828125,220.18408203125,6,veh,646.808852998605,237.40970143378559,12.339182756499346,10.483206661306603
16,1,651.7813720703125,152.89171218872067,590.0631103515625,178.9622802734375,589.2496337890625,135.226318359375,710.0466918945312,126.674072265625,717.7660522460938,170.7041778564453,6,veh,652.0248405782764,153.01713511591228,6.1961584957255464,5.605637672916459
17,2,166.5088691711426,525.7487335205078,221.6865081787109,498.3898010253906,223.3259735107422,543.1072998046875,111.0303192138672,554.1281127929689,109.99267578125,507.3697204589844,6,veh,166.76063049029614,525.9667439000972,89.22458586826174,3.608410746984445
